annee;num;type_feu;dept;code_insee;commune;lieu_dit;carreau_DFCI;alerte;origine_alerte;surface
2010;484;0;13;13058;Maussane-les-Alpilles;Mas du soleil;KD60A05;2010-03-02 16:05:00;3;8530
2010;1214;0;13;13082;Rognes;CHE DE MIGNARDE;KD44B92;2010-03-12 14:37:00;3;200
2010;1215;0;13;13062;Mimet;CHE ST SEBASTIEN;KD42K43;2010-03-13 12:13:00;3;150
2010;485;0;13;13030;Cuges-les-Pins;LA CURASSE;KD60H72;2010-03-16 13:59:00;3;50000
2010;486;0;13;13088;Rove (Le);BAUME;KD22L11;2010-03-16 15:44:00;3;9000
2010;1217;0;13;13032;Éguilles;PIE REDON;KD44C11;2010-04-10 16:46:00;3;200
2010;1262;0;13;13039;Fos-sur-Mer;L'ARCHEVEQUE;KD02F63;2010-04-25 14:40:00;3;100
2010;1266;0;13;13005;Aubagne;CARPIAGNE;KD60A63;2010-05-18 22:45:00;3;1000
2010;1221;0;13;13081;Rognac;BASTIDE NEUVE;KD22G93;2010-05-19 14:20:00;3;4500
2010;1267;0;13;13028;Ciotat (La);STE BRIGITTE;KD60E21;2010-05-20 15:35:00;3;40
2010;1224;0;13;13082;Rognes;VALCROS;KD44B93;2010-05-29 19:56:00;3;100
2010;1213;0;13;13035;Eyguières;LES BARRES;KD04L93;2010-06-03 14:37:00;3;200
2010;1079;0;13;13055;Marseille;LA VISTE;KD42C14;2010-06-07 17:36:00;3;10000
2010;1283;0;13;13055;Marseille;N D LIMITE;KD42D21;2010-06-07 22:20:00;3;1000
2010;1083;0;13;13055;Marseille;LA VISTE;KD42C13;2010-06-11 15:05:00;3;3000
2010;1265;0;13;13040;Fuveau;SAINT FRANCOIS;KD42L62;2010-06-11 17:25:00;3;150
2010;5024;0;13;13072;Peynier;TONNELLE;KD62C61;2010-06-15 15:34:00;3;250
2010;1218;0;13;13056;Martigues;NOTRE DAME DS MARINS;KD02L31;2010-06-27 16:36:00;3;150
2010;2513;0;13;13028;Ciotat (La);PARC DU MUGEL;KD60D01;2010-07-03 10:09:00;;80
2010;2489;0;13;13050;Lambesc;ST SUFRAN;KD24L75;2010-07-03 14:02:00;1;100
2010;2649;0;13;13055;Marseille;LES RIAUX;KD22L02;2010-07-05 00:50:00;3;400
2010;2506;0;13;13028;Ciotat (La);PARC DU MUGEL;KD60D01;2010-07-05 20:07:00;;20000
2010;2515;0;13;13001;Aix-en-Provence;Camp des gitans;KD42A64;2010-07-06 16:58:00;1;1000
2010;2650;0;13;13055;Marseille;LES OLIVES;KD40G95;2010-07-06 17:40:00;3;4000
2010;2514;0;13;13028;Ciotat (La);PARC DU MUGEL;KD60D01;2010-07-06 18:02:00;1;30
2010;2518;0;13;13115;Vernègues;RO 117;KD24E83;2010-07-06 22:53:00;3;300
2010;2516;0;13;13110;Trets;D57;KD62E82;2010-07-07 11:24:00;1;50
2010;2517;0;13;13073;Peypin;Chemin des IRIS;KD62B33;2010-07-07 12:42:00;1;50
2010;2522;0;13;13026;Châteauneuf-les-Martigues;LE PAON;KD22E2;2010-07-08 16:44:00;1;1800
2010;2519;0;13;13073;Peypin;LES ERMITES;KD62B23;2010-07-15 02:05:00;3;50
2010;2520;0;13;13073;Peypin;PONT DE GAROUTE;KD62A33;2010-07-15 14:27:00;1;1800
2010;2521;0;13;13073;Peypin;LA POMME;KD62B31;2010-07-15 18:00:00;1;1000
2010;3154;0;13;13016;Bouilladisse (La);D45E;KD60C32;2010-07-16 13:15:00;1;50
2010;3155;0;13;13081;Rognac;La grande Bastide;KD22G81;2010-07-16 16:17:00;3;30
2010;3156;0;13;13038;Fontvieille;Moulin de Daudet;HD86F03;2010-07-17 17:46:00;1;100
2010;3158;0;13;13101;Saint-Savournin;D46E;KD62A44;2010-07-17 18:02:00;1;200
2010;3157;0;13;13020;Cadolive;Puits Gairmin;KD42L32;2010-07-17 18:38:00;1;50
2010;3163;0;13;13048;Jouques;Le Canet;KD64D51;2010-07-18 16:54:00;1;50
2010;3166;0;13;13040;Fuveau;Les Espinades;KD64L63;2010-07-19 11:39:00;1;8700
2010;3170;0;13;13073;Peypin;Ancienne decharge;KD62B21;2010-07-19 16:48:00;1;150
2010;3219;0;13;13085;Roquefort-la-Bédoule;Barbanau;KD60D55;2010-07-20 11:13:00;1;1000
2010;3220;0;13;13001;Aix-en-Provence;Camp des gitans;KD42A64;2010-07-20 17:28:00;1;200
